"","total","anchor"
"1",8,3
"2",21,6
"3",31,10
"4",7,2
"5",18,5
"6",36,12
"7",17,5
"8",8,2
"9",8,5
"10",20,6
"11",12,4
"12",11,5
"13",27,9
"14",7,2
"15",12,8
"16",7,2
"17",16,5
"18",27,9
"19",16,5
"20",7,3
"21",16,5
"22",22,7
"23",13,6
"24",9,4
"25",15,4
"26",29,7
"27",14,5
"28",26,7
"29",14,6
"30",20,5
"31",10,3
"32",17,5
"33",18,6
"34",19,4
"35",14,3
"36",12,5
"37",11,4
"38",20,7
"39",17,7
"40",20,5
"41",13,5
"42",10,5
"43",12,4
"44",15,5
"45",16,6
"46",8,3
"47",11,3
"48",32,10
"49",11,6
"50",19,5
"51",17,6
"52",25,8
"53",26,8
"54",10,2
"55",4,1
"56",20,8
"57",11,4
"58",20,4
"59",14,4
"60",15,5
"61",20,6
"62",25,9
"63",20,7
"64",8,4
"65",22,8
"66",10,2
"67",15,4
"68",25,7
"69",12,6
"70",8,2
"71",19,6
"72",14,5
"73",11,5
"74",30,10
"75",15,4
"76",25,7
"77",21,6
"78",7,0
"79",31,10
"80",10,4
"81",8,6
"82",8,4
"83",10,3
"84",16,6
"85",10,2
"86",17,4
"87",16,4
"88",17,4
"89",18,8
"90",14,6
"91",20,5
"92",15,3
"93",7,1
"94",17,6
"95",9,2
"96",12,5
"97",10,5
"98",12,3
"99",14,4
"100",20,6
"101",14,4
"102",20,5
"103",21,8
"104",9,4
"105",19,7
"106",12,3
"107",13,4
"108",14,5
"109",18,6
"110",28,8
"111",14,2
"112",17,3
"113",17,5
"114",18,6
"115",20,5
"116",22,6
"117",11,4
"118",15,7
"119",2,0
"120",11,4
"121",11,3
"122",15,5
"123",7,1
"124",10,4
"125",16,5
"126",10,3
"127",16,6
"128",8,3
"129",30,12
"130",22,6
"131",28,9
"132",13,5
"133",16,6
"134",27,8
"135",12,4
"136",10,3
"137",16,7
"138",32,10
"139",6,3
"140",18,6
"141",18,4
"142",17,5
"143",16,7
"144",12,5
"145",7,2
"146",27,11
"147",24,8
"148",27,9
"149",20,5
"150",33,10
"151",32,11
"152",21,7
"153",17,4
"154",20,4
"155",13,3
"156",15,7
"157",23,6
"158",6,1
"159",10,1
"160",6,2
"161",11,5
"162",14,4
"163",9,2
"164",13,6
"165",18,4
"166",25,8
"167",23,9
"168",14,4
"169",12,4
"170",14,4
"171",8,4
"172",11,4
"173",30,10
"174",21,5
"175",18,5
"176",11,2
"177",11,4
"178",9,2
"179",19,5
"180",14,2
"181",16,3
"182",20,7
"183",12,6
"184",23,8
"185",14,4
"186",8,2
"187",21,7
"188",18,6
"189",25,9
"190",10,5
"191",16,4
"192",9,1
"193",20,6
"194",25,9
"195",18,5
"196",10,5
"197",5,2
"198",11,3
"199",8,4
"200",17,8
"201",18,7
"202",17,5
"203",13,5
"204",15,3
"205",15,3
"206",22,6
"207",14,4
"208",7,0
"209",12,2
"210",11,3
"211",22,8
"212",9,4
"213",24,8
"214",14,5
"215",24,7
"216",31,10
"217",14,4
"218",8,3
"219",10,4
"220",10,2
"221",34,12
"222",16,5
"223",20,6
"224",12,6
"225",6,3
"226",29,9
"227",13,3
"228",18,7
"229",14,6
"230",14,6
"231",12,4
"232",10,2
"233",13,3
"234",13,6
"235",13,2
"236",13,4
"237",18,6
"238",16,4
"239",23,9
"240",22,7
"241",13,6
"242",11,5
"243",21,5
"244",19,6
"245",3,2
"246",26,9
"247",18,6
"248",20,6
"249",27,9
"250",12,6
"251",15,3
"252",22,7
"253",10,4
"254",6,3
"255",20,7
"256",6,2
"257",11,2
"258",17,7
"259",25,8
"260",6,3
"261",20,7
"262",7,3
"263",25,6
"264",13,5
"265",28,9
"266",12,2
"267",10,3
"268",12,4
"269",26,9
"270",16,5
"271",14,3
"272",20,7
"273",8,2
"274",8,1
"275",15,3
"276",17,6
"277",10,3
"278",14,6
"279",27,9
"280",7,3
"281",6,1
"282",14,5
"283",14,5
"284",15,7
"285",28,7
"286",9,2
"287",10,6
"288",15,5
"289",11,4
"290",20,9
"291",6,2
"292",17,4
"293",25,5
"294",10,3
"295",17,2
"296",13,4
"297",15,5
"298",9,3
"299",11,4
"300",10,2
"301",13,5
"302",29,11
"303",15,3
"304",20,8
"305",11,4
"306",21,8
"307",11,3
"308",30,11
"309",29,7
"310",9,2
"311",9,4
"312",27,8
"313",15,5
"314",20,7
"315",7,3
"316",17,3
"317",26,9
"318",20,7
"319",20,6
"320",15,3
"321",18,3
"322",9,0
"323",21,7
"324",15,4
"325",15,4
"326",12,5
"327",22,8
"328",12,5
"329",11,3
"330",19,6
"331",19,4
"332",25,8
"333",13,3
"334",28,10
"335",19,5
"336",20,5
"337",17,6
"338",8,3
"339",20,5
"340",20,5
"341",24,9
"342",14,5
"343",18,7
"344",15,4
"345",9,1
"346",22,6
"347",17,5
"348",21,6
"349",22,8
"350",19,5
"351",13,3
"352",12,5
"353",8,2
"354",10,1
"355",12,5
"356",14,2
"357",8,2
"358",10,4
"359",14,9
"360",8,1
"361",19,8
"362",15,8
"363",9,1
"364",15,5
"365",23,6
"366",10,4
"367",11,6
"368",14,4
"369",5,1
"370",13,2
"371",14,5
"372",11,4
"373",7,1
"374",16,6
"375",10,3
"376",28,9
"377",24,9
"378",17,7
"379",16,6
"380",14,3
"381",14,4
"382",22,7
"383",10,3
"384",13,3
"385",25,8
"386",28,8
"387",28,9
"388",21,6
"389",18,7
"390",27,9
"391",22,7
"392",19,8
"393",11,2
"394",26,9
"395",18,4
"396",13,3
"397",14,6
"398",28,9
"399",16,5
"400",11,2
"401",14,3
"402",12,4
"403",7,2
"404",18,3
"405",13,1
"406",13,3
"407",13,1
"408",20,7
"409",8,3
"410",10,4
"411",13,4
"412",11,5
"413",11,5
"414",11,4
"415",24,8
"416",14,3
"417",15,4
"418",8,3
"419",8,2
"420",20,5
"421",12,3
"422",15,6
"423",24,6
"424",9,2
"425",13,5
"426",28,9
"427",11,3
"428",11,5
"429",12,4
"430",12,2
"431",14,4
"432",10,4
"433",23,7
"434",22,6
"435",21,6
"436",11,4
"437",12,3
"438",9,1
"439",19,5
"440",28,9
"441",14,4
"442",12,2
"443",8,3
"444",20,8
"445",13,4
"446",23,7
"447",13,4
"448",7,2
"449",18,6
"450",14,6
"451",14,5
"452",24,8
"453",11,3
"454",12,3
"455",15,5
"456",7,2
"457",16,6
"458",26,8
"459",11,2
"460",15,6
"461",8,3
"462",21,5
"463",23,7
"464",18,5
"465",27,8
"466",17,7
"467",21,8
"468",11,2
"469",13,4
"470",17,4
"471",20,5
"472",29,11
"473",28,8
"474",32,11
"475",20,7
"476",16,5
"477",27,11
"478",16,6
"479",28,9
"480",21,8
"481",20,5
"482",9,1
"483",12,4
"484",27,6
"485",22,8
"486",17,4
"487",25,10
"488",12,2
"489",11,5
"490",25,7
"491",18,6
"492",16,3
"493",16,7
"494",27,6
"495",27,7
"496",12,2
"497",15,6
"498",20,7
"499",5,1
"500",17,4
"501",26,10
"502",19,6
"503",17,6
"504",12,6
"505",11,4
"506",20,8
"507",32,10
"508",12,5
"509",13,4
"510",24,8
"511",21,7
"512",17,6
"513",15,3
"514",21,6
"515",16,4
"516",13,5
"517",8,1
"518",12,5
"519",12,4
"520",27,10
"521",9,4
"522",19,5
"523",9,2
"524",13,3
"525",12,4
"526",19,5
"527",31,10
"528",10,3
"529",10,3
"530",30,8
"531",20,9
"532",17,5
"533",11,4
"534",6,3
"535",28,10
"536",21,8
"537",11,3
"538",10,4
"539",23,7
"540",18,6
"541",10,2
"542",13,4
"543",20,8
"544",25,9
"545",25,7
"546",16,5
"547",10,2
"548",32,11
"549",7,2
"550",34,11
"551",15,4
"552",14,3
"553",27,8
"554",28,8
"555",8,5
"556",7,4
"557",16,5
"558",22,6
"559",22,6
"560",9,4
"561",14,3
"562",24,7
"563",20,8
"564",18,5
"565",23,6
"566",8,3
"567",9,6
"568",8,1
"569",18,6
"570",9,3
"571",17,6
"572",9,4
"573",10,1
"574",31,11
"575",16,5
"576",29,8
"577",27,10
"578",12,5
"579",28,8
"580",23,8
"581",30,11
"582",6,2
"583",13,3
"584",12,4
"585",24,7
"586",18,7
"587",12,2
"588",15,6
"589",5,2
"590",17,6
"591",12,4
"592",11,7
"593",15,4
"594",10,4
"595",12,6
"596",24,9
"597",34,11
