"","total","anchor"
"1",29,9
"2",16,5
"3",18,6
"4",24,7
"5",19,5
"6",17,5
"7",15,6
"8",15,3
"9",15,5
"10",19,8
"11",16,4
"12",8,1
"13",22,7
"14",21,5
"15",3,0
"16",12,4
"17",10,3
"18",25,5
"19",20,6
"20",25,9
"21",18,6
"22",14,5
"23",32,10
"24",26,7
"25",11,6
"26",12,3
"27",12,4
"28",13,4
"29",12,3
"30",16,6
"31",32,11
"32",6,1
"33",16,5
"34",27,9
"35",12,4
"36",26,6
"37",18,6
"38",10,4
"39",35,12
"40",16,5
"41",5,3
"42",16,6
"43",29,8
"44",26,8
"45",33,10
"46",17,7
"47",14,3
"48",18,5
"49",31,10
"50",13,4
"51",32,10
"52",11,3
"53",14,4
"54",30,10
"55",31,10
"56",11,2
"57",11,3
"58",19,6
"59",18,3
"60",10,3
"61",23,7
"62",20,5
"63",33,10
"64",11,3
"65",16,3
"66",22,7
"67",15,5
"68",19,6
"69",9,3
"70",19,4
"71",18,7
"72",9,4
"73",22,3
"74",15,6
"75",18,5
"76",15,7
"77",18,7
"78",19,4
"79",16,6
"80",9,2
"81",22,4
"82",18,6
"83",28,9
"84",9,4
"85",20,8
"86",10,5
"87",26,10
"88",33,11
"89",9,3
"90",26,6
"91",9,3
"92",23,6
"93",14,4
"94",17,5
"95",5,2
"96",8,1
"97",23,10
"98",19,7
"99",17,5
"100",18,6
"101",21,7
"102",18,5
"103",24,8
"104",12,5
"105",7,1
"106",13,3
"107",25,9
"108",16,6
"109",23,8
"110",20,8
"111",35,12
"112",23,6
"113",34,11
"114",22,7
"115",21,5
"116",11,4
"117",11,4
"118",22,7
"119",15,4
"120",15,4
"121",32,12
"122",15,4
"123",17,5
"124",22,7
"125",18,4
"126",28,9
"127",21,6
"128",28,9
"129",25,8
"130",6,3
"131",24,8
"132",24,8
"133",13,3
"134",20,5
"135",16,7
"136",15,3
"137",16,7
"138",12,3
"139",23,9
"140",10,2
"141",21,7
"142",20,8
"143",15,5
"144",13,4
"145",14,4
"146",30,10
"147",19,8
"148",12,4
"149",20,6
"150",20,4
"151",31,10
"152",18,6
"153",23,6
"154",9,3
"155",25,7
"156",11,3
"157",6,2
"158",31,9
"159",22,4
"160",27,7
"161",16,5
"162",15,4
"163",25,7
"164",19,5
"165",31,9
"166",21,7
"167",24,8
"168",19,7
"169",12,5
"170",18,5
"171",13,6
"172",19,5
"173",6,1
"174",35,11
"175",15,5
"176",27,7
"177",23,5
"178",17,6
"179",15,5
"180",19,7
"181",22,7
"182",11,3
"183",17,7
"184",36,12
"185",13,6
"186",24,7
"187",16,5
"188",12,4
"189",14,4
"190",27,8
"191",23,7
"192",25,9
"193",29,9
"194",23,6
"195",11,3
"196",29,9
"197",11,4
"198",22,5
"199",19,7
"200",5,1
"201",18,5
"202",25,7
"203",27,9
"204",22,7
"205",17,4
"206",26,7
"207",20,7
"208",20,7
"209",23,5
"210",19,5
"211",21,10
"212",20,7
"213",17,6
"214",16,6
"215",19,5
"216",15,4
"217",10,1
"218",9,2
"219",24,7
"220",27,8
"221",13,6
"222",12,4
"223",10,3
"224",15,4
"225",20,5
"226",12,2
"227",19,5
"228",24,8
"229",9,2
"230",13,4
"231",31,10
"232",27,8
"233",29,10
"234",9,2
"235",15,2
"236",31,10
"237",23,10
"238",23,9
"239",13,4
"240",21,7
"241",11,2
"242",14,3
"243",15,4
"244",10,3
"245",35,12
"246",14,7
"247",14,5
"248",23,7
"249",19,3
"250",10,3
"251",8,3
"252",26,8
"253",16,7
"254",17,2
"255",27,9
"256",12,5
"257",17,6
"258",20,5
"259",27,9
"260",24,7
"261",21,7
"262",11,4
"263",20,7
"264",15,5
"265",18,4
"266",13,2
"267",24,7
"268",16,4
"269",11,5
"270",29,11
"271",20,7
"272",15,5
"273",13,4
"274",6,2
"275",20,6
"276",18,7
"277",12,5
"278",18,7
"279",11,2
"280",16,3
"281",14,2
"282",26,8
"283",20,5
"284",16,4
"285",9,3
"286",18,5
"287",20,6
"288",28,8
"289",6,2
"290",22,7
"291",10,1
"292",32,10
"293",7,0
"294",27,9
"295",26,10
"296",31,9
"297",30,10
"298",12,5
"299",26,8
"300",9,2
"301",21,7
"302",8,3
"303",11,4
"304",24,7
"305",17,7
"306",17,5
"307",28,8
"308",12,7
"309",27,8
"310",24,8
"311",12,3
"312",19,4
"313",11,4
"314",28,10
"315",12,5
"316",31,11
"317",10,3
"318",34,11
"319",26,8
"320",20,4
"321",26,8
"322",16,4
"323",13,3
"324",16,7
"325",18,3
"326",17,8
"327",17,7
"328",17,5
"329",27,9
"330",13,6
"331",23,9
"332",10,4
"333",11,3
"334",9,5
"335",19,7
"336",19,6
"337",21,4
"338",17,5
"339",20,7
"340",21,5
"341",20,7
"342",33,9
"343",14,5
"344",30,9
"345",25,7
"346",17,6
"347",20,7
"348",26,6
"349",23,8
"350",15,6
"351",10,4
"352",14,4
"353",18,4
"354",16,4
"355",12,1
"356",30,8
"357",16,4
"358",33,11
"359",12,6
"360",22,7
"361",23,9
"362",26,9
"363",28,10
"364",23,8
"365",27,10
"366",28,9
"367",32,9
"368",31,11
"369",18,5
"370",30,10
"371",17,3
"372",13,4
"373",17,5
"374",14,4
"375",11,4
"376",13,4
"377",6,2
"378",12,5
"379",29,9
"380",16,5
"381",20,7
"382",21,6
"383",23,7
"384",16,7
"385",22,6
"386",21,6
"387",21,7
"388",13,6
"389",21,6
"390",14,5
"391",23,8
"392",13,4
"393",8,1
"394",20,6
"395",20,6
"396",8,2
"397",17,7
"398",16,4
"399",20,7
"400",15,5
"401",15,8
"402",15,5
"403",18,6
"404",15,5
"405",18,6
"406",26,10
"407",19,6
"408",16,3
"409",12,2
"410",19,8
"411",23,6
"412",16,5
"413",28,9
"414",4,2
"415",13,4
"416",13,3
"417",31,9
"418",24,8
"419",13,1
"420",26,7
"421",21,8
"422",11,5
"423",28,9
"424",32,12
