"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,1,5,6,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,2,7,4,6,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,3,3,5,12,14,8,9,6,3,1,0,0,0,0,0,0,0,0,0
"7",0,0,1,4,10,9,12,9,8,10,4,0,0,0,0,0,0,0,0,0,0
"8",0,0,1,3,5,7,16,16,11,17,10,5,3,0,1,0,0,0,0,0,0
"9",0,0,1,1,3,8,16,14,12,24,20,11,3,3,0,0,0,0,0,0,0
"10",0,0,0,1,3,4,8,19,20,17,17,13,11,9,2,0,0,0,0,0,0
"11",0,0,0,0,1,2,6,14,20,19,28,24,17,11,9,3,2,0,0,0,0
"12",0,0,0,0,1,3,3,6,13,17,21,23,27,14,13,2,2,1,1,0,0
"13",0,0,0,0,0,1,0,5,11,14,16,26,18,11,10,3,3,1,1,0,0
"14",0,0,0,0,0,0,1,4,8,8,20,21,19,16,13,9,6,3,1,0,0
"15",0,0,0,0,0,0,0,1,4,3,3,17,18,26,11,21,4,1,1,0,0
"16",0,0,0,0,0,0,1,0,1,3,4,10,12,15,15,10,10,3,1,1,0
"17",0,0,0,0,0,0,0,0,0,1,1,1,11,12,8,13,10,7,1,1,0
"18",0,0,0,0,0,0,0,0,0,0,2,1,5,4,8,9,11,5,3,3,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,11,4,1,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,1,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,2,0
