"","bookid","clusterid","itemid","order"
"1","1","m1","m033q01",1
"2","1","m1","m034q01t",1
"3","1","m1","m155q01",1
"4","1","m1","m155q02d",1
"5","1","m1","m155q03d",1
"6","1","m1","m155q04t",1
"7","1","m1","m462q01d",1
"8","1","m1","m411q01",1
"9","1","m1","m474q01",1
"10","1","m1","m803q01t",1
"11","1","m1","m442q02",1
"12","1","m1","m411q02",1
"13","1","r1","r220q02b",2
"14","1","r1","r102q07",2
"15","1","r1","r220q04",2
"16","1","r1","r219q02",2
"17","1","r1","r220q05",2
"18","1","r1","r220q06",2
"19","1","r1","r067q04",2
"20","1","r1","r102q05",2
"21","1","r1","r067q05",2
"22","1","r1","r220q01",2
"23","1","r1","r067q01",2
"24","1","r1","r102q04a",2
"25","1","r3a","r447q06",3
"26","1","r3a","r452q03",3
"27","1","r3a","r452q06",3
"28","1","r3a","r452q07",3
"29","1","r3a","r414q06",3
"30","1","r3a","r458q07",3
"31","1","r3a","r458q04",3
"32","1","r3a","r452q04",3
"33","1","r3a","r447q04",3
"34","1","r3a","r447q01t",3
"35","1","r3a","r414q09",3
"36","1","r3a","r447q05",3
"37","1","r3a","r414q02",3
"38","1","r3a","r458q01",3
"39","1","r3a","r414q11",3
"40","1","m3","m603q02t",4
"41","1","m3","m423q01",4
"42","1","m3","m406q01",4
"43","1","m3","m571q01",4
"44","1","m3","m496q01t",4
"45","1","m3","m496q02",4
"46","1","m3","m192q01t",4
"47","1","m3","m603q01t",4
"48","1","m3","m564q01",4
"49","1","m3","m406q02",4
"50","1","m3","m564q02",4
"51","2","r1","r220q02b",1
"52","2","r1","r102q07",1
"53","2","r1","r220q04",1
"54","2","r1","r219q02",1
"55","2","r1","r220q05",1
"56","2","r1","r220q06",1
"57","2","r1","r067q04",1
"58","2","r1","r102q05",1
"59","2","r1","r067q05",1
"60","2","r1","r220q01",1
"61","2","r1","r067q01",1
"62","2","r1","r102q04a",1
"63","2","s1","s428q01",2
"64","2","s1","s131q02d",2
