"","itemid","clusterid","max","subject","format","noptions"
"1","m033q01","m1",1,"m","mc",4
"2","m034q01t","m1",1,"m","ccr",0
"3","m155q01","m1",1,"m","ocr",0
"4","m155q02d","m1",2,"m","ocr",0
"5","m155q03d","m1",2,"m","ocr",0
"6","m155q04t","m1",1,"m","cmc",0
"12","m411q01","m1",1,"m","sr",0
"13","m411q02","m1",1,"m","mc",4
"16","m442q02","m1",1,"m","ccr",0
"20","m462q01d","m1",2,"m","ocr",0
"22","m474q01","m1",1,"m","ccr",0
"32","m803q01t","m1",1,"m","sr",0
"8","m273q01t","m2",1,"m","cmc",0
"11","m408q01t","m2",1,"m","cmc",0
"14","m420q01t","m2",1,"m","cmc",0
"17","m446q01","m2",1,"m","sr",0
"18","m446q02","m2",1,"m","ocr",0
"19","m447q01","m2",1,"m","mc",4
"21","m464q01t","m2",1,"m","sr",0
"25","m559q01","m2",1,"m","mc",4
"31","m800q01","m2",1,"m","mc",4
"33","m828q01","m2",1,"m","ocr",0
"34","m828q02","m2",1,"m","sr",0
"35","m828q03","m2",1,"m","sr",0
"7","m192q01t","m3",1,"m","cmc",0
"9","m406q01","m3",1,"m","ocr",0
"10","m406q02","m3",1,"m","ocr",0
"15","m423q01","m3",1,"m","mc",4
"23","m496q01t","m3",1,"m","cmc",0
"24","m496q02","m3",1,"m","sr",0
"26","m564q01","m3",1,"m","mc",4
"27","m564q02","m3",1,"m","mc",5
"28","m571q01","m3",1,"m","mc",4
"29","m603q01t","m3",1,"m","cmc",0
"30","m603q02t","m3",1,"m","sr",0
"40","r067q01","r1",1,"r","mc",4
"41","r067q04","r1",2,"r","ocr",0
"42","r067q05","r1",2,"r","ocr",0
"52","r102q04a","r1",1,"r","ocr",0
"53","r102q05","r1",1,"r","ccr",0
"54","r102q07","r1",1,"r","mc",4
"61","r219q02","r1",1,"r","ocr",0
"62","r220q01","r1",1,"r","sr",0
"63","r220q02b","r1",1,"r","mc",4
"64","r220q04","r1",1,"r","mc",4
"65","r220q05","r1",1,"r","mc",4
"66","r220q06","r1",1,"r","mc",4
"36","r055q01","r2",1,"r","mc",4
"37","r055q02","r2",1,"r","ocr",0
"38","r055q03","r2",1,"r","ocr",0
"39","r055q05","r2",1,"r","ocr",0
"55","r104q01","r2",1,"r","ccr",0
"56","r104q02","r2",1,"r","ccr",0
"57","r104q05","r2",2,"r","sr",0
"58","r111q01","r2",1,"r","mc",4
"59","r111q02b","r2",2,"r","ocr",0
"60","r111q06b","r2",2,"r","ocr",0
"67","r227q01","r2",1,"r","mc",4
"68","r227q02t","r2",2,"r","cmc",0
"69","r227q03","r2",1,"r","ocr",0
"70","r227q06","r2",1,"r","sr",0
"85","r414q02","r3a",1,"r","mc",5
"86","r414q06","r3a",1,"r","mc",4
"87","r414q09","r3a",1,"r","cmc",0
"88","r414q11","r3a",1,"r","ocr",0
"109","r447q01t","r3a",1,"r","cmc",0
"110","r447q04","r3a",1,"r","ccr",0
"111","r447q05","r3a",1,"r","mc",0
"112","r447q06","r3a",1,"r","ocr",0
"113","r452q03","r3a",1,"r","sr",0
"114","r452q04","r3a",1,"r","mc",0
"115","r452q06","r3a",1,"r","ccr",0
"116","r452q07","r3a",1,"r","ocr",0
"128","r458q01","r3a",1,"r","mc",0
"129","r458q04","r3a",1,"r","mc",0
"130","r458q07","r3a",1,"r","ccr",0
"43","r083q01","r4a",1,"r","mc",4
